"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"146",2018-01-19 23:30:00,65,61,84,0,NA,"",1,29.97,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"147",2018-01-20 02:30:00,63,60,86,2.3,NA,"NNW",1,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"148",2018-01-20 05:30:00,59,56,87,4.6,NA,"NNW",1,29.96,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"149",2018-01-20 08:30:00,60,58,89,4.6,NA,"NNW",1,30,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"150",2018-01-20 11:30:00,78,58,40,2.3,NA,"East",2,29.99,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"151",2018-01-20 14:30:00,82,67,51,4.6,NA,"East",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"152",2018-01-20 17:30:00,78,65,56,4.6,NA,"East",2,29.89,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"153",2018-01-20 20:30:00,71,62,65,0,NA,"",2,29.95,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"154",2018-01-20 23:30:00,68,60,70,2.3,NA,"NW",2,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"155",2018-01-21 02:30:00,65,61,83,2.3,NA,"NNW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"156",2018-01-21 05:30:00,59,54,80,4.6,NA,"NNW",1,29.92,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"157",2018-01-21 08:30:00,62,57,79,6.9,NA,"NNW",1,29.99,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"158",2018-01-21 11:30:00,81,64,46,4.6,NA,"East",2,29.96,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"159",2018-01-21 14:30:00,82,66,49,4.6,NA,"East",2,29.88,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"160",2018-01-21 17:30:00,75,67,69,2.3,NA,"East",2,29.88,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"161",2018-01-21 20:30:00,71,65,75,0,NA,"",2,29.93,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"162",2018-01-21 23:30:00,69,63,76,2.3,NA,"NW",2,29.93,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"163",2018-01-22 02:30:00,67,63,83,4.6,NA,"NW",1,29.9,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"164",2018-01-22 05:30:00,62,57,79,4.6,NA,"NW",1,29.88,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
